[omfg][info][1774660295672] blended frame present=600; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660296323] vkQueuePresentKHR frame=660; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660296339] blended frame present=660; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660296990] vkQueuePresentKHR frame=720; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660297005] blended frame present=720; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660297657] vkQueuePresentKHR frame=780; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660297672] blended frame present=780; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660298323] vkQueuePresentKHR frame=840; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660298339] blended frame present=840; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660298990] vkQueuePresentKHR frame=900; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660299005] blended frame present=900; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660299657] vkQueuePresentKHR frame=960; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660299672] blended frame present=960; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660300323] vkQueuePresentKHR frame=1020; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660300339] blended frame present=1020; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660300990] vkQueuePresentKHR frame=1080; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660301006] blended frame present=1080; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660301657] vkQueuePresentKHR frame=1140; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660301672] blended frame present=1140; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660302324] vkQueuePresentKHR frame=1200; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660302339] blended frame present=1200; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660302990] vkQueuePresentKHR frame=1260; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660303006] blended frame present=1260; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660303657] vkQueuePresentKHR frame=1320; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660303672] blended frame present=1320; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660304323] vkQueuePresentKHR frame=1380; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660304339] blended frame present=1380; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660304990] vkQueuePresentKHR frame=1440; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660305006] blended frame present=1440; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660305657] vkQueuePresentKHR frame=1500; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660305672] blended frame present=1500; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660306324] vkQueuePresentKHR frame=1560; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660306339] blended frame present=1560; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660306990] vkQueuePresentKHR frame=1620; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660307005] blended frame present=1620; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660307657] vkQueuePresentKHR frame=1680; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660307672] blended frame present=1680; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660308324] vkQueuePresentKHR frame=1740; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660308339] blended frame present=1740; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660308990] vkQueuePresentKHR frame=1800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660309006] blended frame present=1800; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660309345] vkDestroyDevice
[omfg][info][1774660309657] vkQueuePresentKHR frame=1860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660309673] blended frame present=1860; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660310324] vkQueuePresentKHR frame=1920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660310339] blended frame present=1920; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660310990] vkQueuePresentKHR frame=1980; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660311005] blended frame present=1980; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660311657] vkQueuePresentKHR frame=2040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660311749] blended frame present=2040; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
[omfg][info][1774660313629] vkQueuePresentKHR frame=2100; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660313668] blended frame present=2100; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660315632] vkQueuePresentKHR frame=2160; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660315685] blended frame present=2160; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660317633] vkQueuePresentKHR frame=2220; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660317683] blended frame present=2220; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660319631] vkQueuePresentKHR frame=2280; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660319680] blended frame present=2280; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
