run_id	appid	slug	title	mode	status	device_ok	swapchain_ok	first_generated	sustained_progress	log_path
20260327-174606	1196590	resident-evil-village	Resident Evil Village	multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/multi-blend/omfg.log
20260327-174606	1196590	resident-evil-village	Resident Evil Village	adaptive-multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/adaptive-multi-blend/omfg.log
20260327-174606	1196590	resident-evil-village	Resident Evil Village	reproject-multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/reproject-multi-blend/omfg.log
20260327-174606	1196590	resident-evil-village	Resident Evil Village	reproject-adaptive-multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/reproject-adaptive-multi-blend/omfg.log
20260327-174606	1196590	resident-evil-village	Resident Evil Village	optflow-multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/optflow-multi-blend/omfg.log
20260327-174606	1196590	resident-evil-village	Resident Evil Village	optflow-adaptive-multi-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/optflow-adaptive-multi-blend/omfg.log
