[omfg][info][1774646587024] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774646587026] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774646611630] vkQueuePresentKHR passthrough frame=1620; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646612297] vkQueuePresentKHR passthrough frame=1680; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646612461] vkDestroyDevice
[omfg][info][1774646612972] vkQueuePresentKHR passthrough frame=1740; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646613630] vkQueuePresentKHR passthrough frame=1800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646614296] vkQueuePresentKHR passthrough frame=1860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646614963] vkQueuePresentKHR passthrough frame=1920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646615629] vkQueuePresentKHR passthrough frame=1980; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646616296] vkQueuePresentKHR passthrough frame=2040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646618066] vkQueuePresentKHR passthrough frame=2100; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646620068] vkQueuePresentKHR passthrough frame=2160; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646622069] vkQueuePresentKHR passthrough frame=2220; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646624069] vkQueuePresentKHR passthrough frame=2280; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646626069] vkQueuePresentKHR passthrough frame=2340; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646628068] vkQueuePresentKHR passthrough frame=2400; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646630070] vkQueuePresentKHR passthrough frame=2460; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774646632069] vkQueuePresentKHR passthrough frame=2520; queueFamily=0; imageIndex=2; waitSemaphores=1
