[omfg][info][1774639830398] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774639830400] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774639857272] vkQueuePresentKHR passthrough frame=1380; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639857839] vkQueuePresentKHR passthrough frame=1440; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639858438] vkQueuePresentKHR passthrough frame=1500; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639859037] vkQueuePresentKHR passthrough frame=1560; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774639859597] vkQueuePresentKHR passthrough frame=1620; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639860204] vkQueuePresentKHR passthrough frame=1680; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639860826] vkQueuePresentKHR passthrough frame=1740; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639861437] vkQueuePresentKHR passthrough frame=1800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774639862004] vkQueuePresentKHR passthrough frame=1860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774639862582] vkQueuePresentKHR passthrough frame=1920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774639863138] vkQueuePresentKHR passthrough frame=1980; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639863730] vkQueuePresentKHR passthrough frame=2040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774639864334] vkQueuePresentKHR passthrough frame=2100; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774639864939] vkQueuePresentKHR passthrough frame=2160; queueFamily=0; imageIndex=2; waitSemaphores=1
