[omfg][info][1774648204901] reproject multi blended frame present=720; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648205901] reproject multi blended frame present=780; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648206836] vkQueuePresentKHR frame=420; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648206901] reproject multi blended frame present=840; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648207901] reproject multi blended frame present=900; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648208836] vkQueuePresentKHR frame=480; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648208901] reproject multi blended frame present=960; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648209901] reproject multi blended frame present=1020; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648210834] vkQueuePresentKHR frame=540; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648210901] reproject multi blended frame present=1080; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648211901] reproject multi blended frame present=1140; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648212835] vkQueuePresentKHR frame=600; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648212900] reproject multi blended frame present=1200; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648213901] reproject multi blended frame present=1260; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648214835] vkQueuePresentKHR frame=660; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648214900] reproject multi blended frame present=1320; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648215433] vkDestroyDevice
[omfg][info][1774648215902] reproject multi blended frame present=1380; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648216835] vkQueuePresentKHR frame=720; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648216901] reproject multi blended frame present=1440; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648217901] reproject multi blended frame present=1500; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648218836] vkQueuePresentKHR frame=780; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648218901] reproject multi blended frame present=1560; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648220009] reproject multi blended frame present=1620; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648220937] vkQueuePresentKHR frame=840; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648221001] reproject multi blended frame present=1680; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648222001] reproject multi blended frame present=1740; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648222935] vkQueuePresentKHR frame=900; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648223002] reproject multi blended frame present=1800; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
