label,mode,runCount,samples,generatedFrames,gpuSamples,avgCpuAcquireMs,avgCpuSetupMs,avgCpuRecordMs,avgCpuSubmitMs,avgCpuSubmitWaitMs,avgCpuGeneratedPresentMs,avgCpuOriginalPresentMs,avgCpuQueueIdleMs,avgCpuTotalMs,avgCpuPerGeneratedFrameMs,maxCpuTotalMs,avgGpuCmdMs,avgGpuPerGeneratedFrameMs,maxGpuCmdMs,stdev_samples,min_samples,max_samples,stdev_generatedFrames,min_generatedFrames,max_generatedFrames,stdev_gpuSamples,min_gpuSamples,max_gpuSamples,stdev_avgCpuAcquireMs,min_avgCpuAcquireMs,max_avgCpuAcquireMs,stdev_avgCpuSetupMs,min_avgCpuSetupMs,max_avgCpuSetupMs,stdev_avgCpuRecordMs,min_avgCpuRecordMs,max_avgCpuRecordMs,stdev_avgCpuSubmitMs,min_avgCpuSubmitMs,max_avgCpuSubmitMs,stdev_avgCpuSubmitWaitMs,min_avgCpuSubmitWaitMs,max_avgCpuSubmitWaitMs,stdev_avgCpuGeneratedPresentMs,min_avgCpuGeneratedPresentMs,max_avgCpuGeneratedPresentMs,stdev_avgCpuOriginalPresentMs,min_avgCpuOriginalPresentMs,max_avgCpuOriginalPresentMs,stdev_avgCpuQueueIdleMs,min_avgCpuQueueIdleMs,max_avgCpuQueueIdleMs,stdev_avgCpuTotalMs,min_avgCpuTotalMs,max_avgCpuTotalMs,stdev_avgCpuPerGeneratedFrameMs,min_avgCpuPerGeneratedFrameMs,max_avgCpuPerGeneratedFrameMs,stdev_maxCpuTotalMs,min_maxCpuTotalMs,max_maxCpuTotalMs,stdev_avgGpuCmdMs,min_avgGpuCmdMs,max_avgGpuCmdMs,stdev_avgGpuPerGeneratedFrameMs,min_avgGpuPerGeneratedFrameMs,max_avgGpuPerGeneratedFrameMs,stdev_maxGpuCmdMs,min_maxGpuCmdMs,max_maxGpuCmdMs
blend,blend-test,3,119.0,119.0,119.0,10.786333333333333,0.015666666666666666,0.09233333333333334,0.10733333333333334,0.0,0.08133333333333333,0.06,1.2156666666666667,12.359,12.359,13.335,0.22466666666666668,0.22466666666666668,0.2603333333333333,0.0,119.0,119.0,0.0,119.0,119.0,0.0,119.0,119.0,0.008178562764256724,10.775,10.794,0.00047140452079103207,0.015,0.016,0.0024944382578492965,0.089,0.095,0.004714045207910321,0.104,0.114,0.0,0.0,0.0,0.005734883511361751,0.074,0.088,0.004546060565661953,0.054,0.065,0.0471687278701566,1.149,1.251,0.03592584956082034,12.315,12.403,0.03592584956082034,12.315,12.403,0.1072038556520552,13.218,13.477,0.005557777333511028,0.217,0.23,0.005557777333511028,0.217,0.23,0.018873850222522744,0.246,0.287
reproject-blend-default,reproject-blend-test,3,119.0,119.0,119.0,10.784666666666666,0.015,0.098,0.10566666666666666,0.0,0.077,0.058666666666666666,4.912,16.050666666666665,16.050666666666665,17.186666666666667,3.8093333333333335,3.8093333333333335,3.8423333333333334,0.0,119.0,119.0,0.0,119.0,119.0,0.0,119.0,119.0,0.009877021593352443,10.771,10.794,0.0,0.015,0.015,0.0021602468994692888,0.096,0.101,0.0012472191289246482,0.104,0.107,0.0,0.0,0.0,0.0008164965809277268,0.076,0.078,0.0020548046676563242,0.056,0.061,0.019442222095223633,4.894,4.939,0.027475241379992753,16.026,16.089,0.027475241379992753,16.026,16.089,0.05840281576164731,17.114,17.257,0.010780641085864235,3.795,3.821,0.010780641085864235,3.795,3.821,0.0012472191289245099,3.841,3.844
multi-blend-count3,multi-blend-test,3,119.0,357.0,119.0,32.881,0.003,0.10866666666666666,0.11033333333333334,1.6099999999999999,0.1433333333333333,0.03133333333333333,0.0,34.88766666666667,11.629333333333333,36.11633333333333,0.448,0.14933333333333335,0.5553333333333333,0.0,119.0,119.0,0.0,357.0,357.0,0.0,119.0,119.0,0.01232882800593842,32.867,32.897,0.0,0.003,0.003,0.0016996731711975965,0.107,0.111,0.0038586123009300786,0.105,0.114,0.03666969684448817,1.569,1.658,0.0018856180831641283,0.142,0.146,0.00047140452079103207,0.031,0.032,0.0,0.0,0.0,0.039228674319799144,34.836,34.931,0.01319932658214887,11.612,11.644,0.08264112508645642,36.052,36.233,0.04648297179254642,0.384,0.493,0.015434449203720302,0.128,0.164,0.017969109295924712,0.533,0.577
adaptive-multi-target180,adaptive-multi-blend-test,3,109.33333333333333,216.0,109.33333333333333,21.763333333333332,0.003,0.107,0.10833333333333334,1.5123333333333333,0.10266666666666667,0.034333333333333334,0.0,23.630666666666666,11.961,24.663999999999998,0.34933333333333333,0.177,0.394,0.4714045207910317,109.0,110.0,0.816496580927726,215.0,217.0,0.4714045207910317,109.0,110.0,0.04371371511195305,21.711,21.818,0.0,0.003,0.003,0.0008164965809277268,0.106,0.108,0.0023570226039551605,0.105,0.11,0.07752132323145393,1.403,1.574,0.011264496832477204,0.087,0.113,0.00047140452079103207,0.034,0.035,0.0,0.0,0.0,0.09848970617390526,23.507,23.748,0.031123410267299794,11.917,11.984,0.09956237575844892,24.581,24.804,0.003299831645537225,0.345,0.353,0.0016329931618554536,0.175,0.179,0.00244948974278318,0.391,0.397
